_id,AmbientAirTemp,Date,CabinTemp1,ReturnAirTemp,DigitalInputs,DigitalOutputs,BlowerPWM,BlowerHours,CondensorPWM,CompCurr,BattV,CompVolt,HMIReqTemp,serialNumber,CabinTemp,DigitalInputsCal,DigitalOutputsCal,Voltage,Volts,CabinTempHeat,Cabin_Temp_A/C,Cabin_Temp_Fan,Temp_Request
5f6de12e979dd03e1c00024e,81.800003,25-09-2020 12:23,70,70,272,61,30,2077.5,50,8.6,12.2,46,65,10081473,70,AC,1,12.2,12.2,N/A,70,N/A,65
5f6de12e979dd03e1c00024a,81.300003,25-09-2020 12:23,73.099998,70.5,272,61,30,2077.399902,49,8.6,12.3,46,65,10081473,71.799999,AC,1,12.3,12.3,N/A,71.1499995,N/A,65
5f6de12e979dd03e1c000308,77.400002,25-09-2020 12:23,63.200001,65.099998,272,41,30,2078.5,0,0,12.5,0,65.199997,10081473,64.1499995,AC,1,12.5,12.5,N/A,64.62499875,N/A,65.199997
5f6de12e979dd03e1c000305,77.599998,25-09-2020 12:23,63.400002,65.300003,272,61,30,2078.5,29,2.6,12.5,46,65.199997,10081473,64.3500025,AC,1,12.5,12.5,N/A,64.82500275,N/A,65.199997
5f6de12e979dd03e1c0002ff,78,25-09-2020 12:23,63.5,65.400002,272,61,30,2078.399902,29,2.8,12.5,46,65.199997,10081473,64.450001,AC,1,12.5,12.5,N/A,64.9250015,N/A,65.199997
5f6de12e979dd03e1c0002fc,77.900002,25-09-2020 12:23,63.5,65.599998,272,61,30,2078.399902,30,3,12.4,46,65.199997,10081473,64.549999,AC,1,12.4,12.4,N/A,65.0749985,N/A,65.199997
5f6de12e979dd03e1c0002f9,77.699997,25-09-2020 12:23,63.900002,66.099998,272,61,30,2078.399902,33,3.8,12.4,46,65.199997,10081473,65,AC,1,12.4,12.4,N/A,65.549999,N/A,65.199997
5f6de12e979dd03e1c0002f6,77.699997,25-09-2020 12:23,64.5,66.599998,272,61,30,2078.399902,35,4.4,12.4,46,65.199997,10081473,65.549999,AC,1,12.4,12.4,N/A,66.0749985,N/A,65.199997
5f6de12e979dd03e1c0002f3,77.699997,25-09-2020 12:23,65.199997,67.300003,272,61,30,2078.399902,37,4.8,12.4,46,65.199997,10081473,66.25,AC,1,12.4,12.4,N/A,66.7750015,N/A,65.199997
5f6de12e979dd03e1c0002f0,77.5,25-09-2020 12:23,66.5,68.400002,272,61,30,2078.399902,39,5.4,12.3,46,65.199997,10081473,67.450001,AC,1,12.3,12.3,N/A,67.9250015,N/A,65.199997
5f6de12e979dd03e1c0002ed,78.199997,25-09-2020 12:23,67.5,69.300003,272,61,30,2078.300049,37,5,12.4,46,65.199997,10081473,68.4000015,AC,1,12.4,12.4,N/A,68.85000225,N/A,65.199997
5f6de12e979dd03e1c0002ea,79.199997,25-09-2020 12:23,67.400002,69,272,61,20,2078.300049,30,0.2,12.7,47,65.199997,10081473,68.200001,AC,1,12.7,12.7,N/A,68.6000005,N/A,65.199997
5f6de12e979dd03e1c000302,77.699997,25-09-2020 12:23,63.5,65.599998,272,61,30,2078.5,29,2.8,12.5,46,65.199997,10081473,64.549999,AC,1,12.5,12.5,N/A,65.0749985,N/A,65.199997
5f6de12e979dd03e1c0002e7,78.699997,25-09-2020 12:23,67,68.599998,272,41,30,2078.300049,0,0,12.7,0,65.199997,10081473,67.799999,AC,1,12.7,12.7,N/A,68.1999985,N/A,65.199997
5f6de12e979dd03e1c0002e4,78.800003,25-09-2020 12:23,66.5,68.300003,272,41,30,2078.300049,0,0,12.7,0,65.199997,10081473,67.4000015,AC,1,12.7,12.7,N/A,67.85000225,N/A,65.199997
5f6de12e979dd03e1c0002e1,79.099998,25-09-2020 12:23,65.900002,67.800003,272,41,30,2078.300049,0,0,12.7,0,65.199997,10081473,66.8500025,AC,1,12.7,12.7,N/A,67.32500275,N/A,65.199997
5f6de12e979dd03e1c0002de,78,25-09-2020 12:23,65.300003,67.199997,272,41,30,2078.300049,0,0,12.7,0,65.199997,10081473,66.25,AC,1,12.7,12.7,N/A,66.7249985,N/A,65.199997
5f6de12e979dd03e1c0002db,78.300003,25-09-2020 12:23,64.5,66.5,272,41,30,2078.199951,0,0,12.7,0,65.199997,10081473,65.5,AC,1,12.7,12.7,N/A,66,N/A,65.199997
5f6de12e979dd03e1c0002d8,78,25-09-2020 12:23,63.5,65.599998,272,41,30,2078.199951,0,0,12.7,0,65.199997,10081473,64.549999,AC,1,12.7,12.7,N/A,65.0749985,N/A,65.199997
5f6de12e979dd03e1c0002d5,78.199997,25-09-2020 12:23,63,65.300003,272,41,30,2078.199951,0,0,12.6,0,65.199997,10081473,64.1500015,AC,1,12.6,12.6,N/A,64.72500225,N/A,65.199997
5f6de12e979dd03e1c0002d2,78.199997,25-09-2020 12:23,63.099998,65.5,272,61,30,2078.199951,29,2.8,12.5,46,65.199997,10081473,64.299999,AC,1,12.5,12.5,N/A,64.8999995,N/A,65.199997
5f6de12e979dd03e1c0002cb,77.900002,25-09-2020 12:23,62.900002,65.599998,272,61,30,2078.199951,29,2.8,12.5,46,65,10081473,64.25,AC,1,12.5,12.5,N/A,64.924999,N/A,65
5f6de12e979dd03e1c0002cf,78.199997,25-09-2020 12:23,63.099998,65.599998,272,61,30,2078.199951,29,2.8,12.5,46,65,10081473,64.349998,AC,1,12.5,12.5,N/A,64.974998,N/A,65
5f6de12e979dd03e1c0002c6,77.5,25-09-2020 12:23,62.900002,65.800003,272,61,30,2078.100098,30,3,12.5,46,65,10081473,64.3500025,AC,1,12.5,12.5,N/A,65.07500275,N/A,65
5f6de12e979dd03e1c0002c8,78.099998,25-09-2020 12:23,62.900002,65.599998,272,61,30,2078.100098,29,2.8,12.5,46,65,10081473,64.25,AC,1,12.5,12.5,N/A,64.924999,N/A,65
5f6de12e979dd03e1c0002aa,78.800003,25-09-2020 12:23,66.699997,68.599998,272,41,30,2078,0,0,12.7,0,65,10081473,67.6499975,AC,1,12.7,12.7,N/A,68.12499775,N/A,65
5f6de12e979dd03e1c0002c3,77.699997,25-09-2020 12:23,62.799999,65.400002,272,61,30,2078.100098,30,3,12.5,46,65,10081473,64.1000005,AC,1,12.5,12.5,N/A,64.75000125,N/A,65
5f6de12e979dd03e1c0002bf,77.900002,25-09-2020 12:23,62.900002,65.599998,272,61,30,2078.100098,33,3.6,12.4,46,65,10081473,64.25,AC,1,12.4,12.4,N/A,64.924999,N/A,65
5f6de12e979dd03e1c0002bd,77.699997,25-09-2020 12:23,63.299999,65.900002,272,61,30,2078.100098,35,4.4,12.4,46,65,10081473,64.6000005,AC,1,12.4,12.4,N/A,65.25000125,N/A,65
5f6de12e979dd03e1c0002ba,78.199997,25-09-2020 12:23,63.900002,66.400002,272,61,30,2078.100098,38,5,12.4,46,65,10081473,65.150002,AC,1,12.4,12.4,N/A,65.775002,N/A,65
5f6de12e979dd03e1c0002b7,77.800003,25-09-2020 12:23,64.900002,67.400002,272,61,30,2078,41,6,12.3,46,65,10081473,66.150002,AC,1,12.3,12.3,N/A,66.775002,N/A,65
5f6de12e979dd03e1c0002b4,78.5,25-09-2020 12:23,66.099998,68.5,272,61,30,2078,43,6.6,12.3,46,65,10081473,67.299999,AC,1,12.3,12.3,N/A,67.8999995,N/A,65
5f6de12e979dd03e1c0002b2,78.699997,25-09-2020 12:23,67.099998,69.199997,272,61,30,2078,41,5.6,12.4,46,65,10081473,68.1499975,AC,1,12.4,12.4,N/A,68.67499725,N/A,65
5f6de12e979dd03e1c0002a7,78.400002,25-09-2020 12:23,65.5,67.599998,272,41,30,2077.899902,0,0,12.7,0,65,10081473,66.549999,AC,1,12.7,12.7,N/A,67.0749985,N/A,65
5f6de12e979dd03e1c0002ae,79.099998,25-09-2020 12:23,67.199997,69,272,61,20,2078,33,0.2,12.7,47,65,10081473,68.0999985,AC,1,12.7,12.7,N/A,68.54999925,N/A,65
5f6de12e979dd03e1c00030b,77.300003,25-09-2020 12:23,63.599998,65.300003,272,41,30,2078.5,0,0,12.6,0,65.199997,10081473,64.4500005,AC,1,12.6,12.6,N/A,64.87500175,N/A,65.199997
5f6de12e979dd03e1c000484,76.5,25-09-2020 12:23,66.699997,67.599998,272,41,30,2080.600098,0,0,12.6,0,65.199997,10081473,67.1499975,AC,1,12.6,12.6,N/A,67.37499775,N/A,65.199997
5f6de12e979dd03e1c000481,76.699997,25-09-2020 12:23,66.199997,67.199997,272,41,30,2080.600098,0,0,12.6,0,65.199997,10081473,66.699997,AC,1,12.6,12.6,N/A,66.949997,N/A,65.199997
5f6de12e979dd03e1c00047e,76.699997,25-09-2020 12:23,65.599998,66.599998,272,41,30,2080.600098,0,0,12.6,0,65.199997,10081473,66.099998,AC,1,12.6,12.6,N/A,66.349998,N/A,65.199997
5f6de12e979dd03e1c00047b,76.599998,25-09-2020 12:23,64.699997,65.900002,272,41,30,2080.600098,0,0,12.6,0,65.199997,10081473,65.2999995,AC,1,12.6,12.6,N/A,65.60000075,N/A,65.199997
5f6de12e979dd03e1c000478,76.599998,25-09-2020 12:23,63.700001,64.900002,272,41,30,2080.5,0,0,12.6,0,65.199997,10081473,64.3000015,AC,1,12.6,12.6,N/A,64.60000175,N/A,65.199997
5f6de12e979dd03e1c000475,76.800003,25-09-2020 12:23,63.5,64.800003,272,41,30,2080.5,0,0,12.4,0,65.199997,10081473,64.1500015,AC,1,12.4,12.4,N/A,64.47500225,N/A,65.199997
5f6de12e979dd03e1c000472,76.699997,25-09-2020 12:23,63.599998,64.900002,272,61,30,2080.5,28,2.6,12.4,47,65.199997,10081473,64.25,AC,1,12.4,12.4,N/A,64.575001,N/A,65.199997
5f6de12e979dd03e1c00046f,77,25-09-2020 12:23,63.700001,65,272,61,30,2080.5,29,2.6,12.4,47,65.199997,10081473,64.3500005,AC,1,12.4,12.4,N/A,64.67500025,N/A,65.199997
5f6de12e979dd03e1c0003d0,77.699997,25-09-2020 12:23,63.700001,65.099998,272,61,30,2079.600098,29,2.6,12.4,46,65.199997,10081473,64.3999995,AC,1,12.4,12.4,N/A,64.74999875,N/A,65.199997
5f6de12e979dd03e1c000351,78,25-09-2020 12:23,67.400002,68.400002,272,41,30,2078.899902,0,0,12.7,0,65.199997,10081473,67.900002,AC,1,12.7,12.7,N/A,68.150002,N/A,65.199997
5f6de12e979dd03e1c00034e,77.300003,25-09-2020 12:23,67,68,272,41,30,2078.899902,0,0,12.7,0,65.199997,10081473,67.5,AC,1,12.7,12.7,N/A,67.75,N/A,65.199997
5f6de12e979dd03e1c00034c,77.599998,25-09-2020 12:23,66.5,67.599998,272,41,30,2078.899902,0,0,12.7,0,65.199997,10081473,67.049999,AC,1,12.7,12.7,N/A,67.3249985,N/A,65.199997
